Broadway & 4th St.,Canal & Lafayette St.,80 Lafayette,Metrotech Center Roadway,6 Metrotech Arrival,6 Metrotech Departure,Cadman Plaza & Clark St.,Canal & Centre St.,715 Broadway Arrival
-,-,-,-,-,7:15 AM,-,-,7:35 AM
7:25 AM,7:31 AM,-,7:41 AM,7:44 AM,-,-,-,-
7:45 AM,7:51 AM,-,8:01 AM,8:04 AM,8:15 AM,-,-,8:35 AM
8:50 AM,8:56 AM,-,9:06 AM,9:09 AM,9:25 AM,-,-,9:45 AM
9:20 AM,9:26 AM,-,9:36 AM,9:39 AM,-,-,-,-
-,9:40 AM,-,9:50 AM,9:53 AM,10:00 AM,-,-,10:20 AM
9:55 AM,10:01 AM,-,10:11 AM,10:14 AM,10:30 AM,-,-,10:50 AM
10:55 AM,11:01 AM,-,11:11 AM,11:14 AM,11:25 AM,-,-,11:45 AM
11:55 AM,12:01 PM,-,12:11 PM,12:14 PM,12:30 PM,-,-,12:50 PM
12:25 PM,12:31 PM,-,12:41 PM,12:44 PM,1:00 PM,-,-,1:20 PM
12:55 PM,1:01 PM,-,1:11 PM,1:14 PM,1:25 PM,-,-,1:45 PM
1:25 PM,1:31 PM,-,1:41 PM,1:44 PM,1:55 PM,-,-,2:15 PM
1:45 PM,1:51 PM,-,2:01 PM,2:04 PM,2:25 PM,-,-,2:45 PM
2:30 PM,2:36 PM,-,2:46 PM,2:49 PM,2:55 PM,,,3:15 PM
3:00 PM,3:06 PM,-,3:16 PM,3:19 PM,3:25 PM,-,-,3:45 PM
3:30 PM,3:36 PM,-,3:46 PM,3:49 PM,4:00 PM,-,-,4:20 PM
4:00 PM,4:06 PM,-,4:16 PM,4:19 PM,4:25 PM,-,-,4:45 PM
4:35 PM,4:41 PM,-,4:51 PM,4:54 PM,4:55 PM,-,-,5:15 PM
5:05 PM,5:11 PM,-,5:21 PM,5:24 PM,5:30 PM,-,-,5:50 PM
5:30 PM,5:36 PM,-,5:46 PM,5:49 PM,6:05 PM,-,-,6:25 PM
5:50 PM,5:56 PM,-,6:06 PM,6:09 PM,6:15 PM,-,-,6:35 PM
6:10 PM,6:16 PM,-,6:26 PM,6:29 PM,6:40 PM,6:42 PM,6:52 PM,7:05 PM
6:50 PM,6:56 PM,-,7:06 PM,7:09 PM,7:35 PM,7:37 PM,7:47 PM,8:00 PM
8:05 PM,8:11 PM,-,8:21 PM,8:24 PM,8:40 PM,8:42 PM,8:52 PM,9:05 PM
9:15 PM,9:21 PM,-,9:31 PM,9:34 PM,9:40 PM,9:42 PM,9:52 PM,10:05 PM
10:10 PM,10:16 PM,-,10:26 PM,10:29 PM,10:30 PM,10:32 PM,10:42 PM,10:55 PM
