715 Broadway,Broadway & Broome St.,Canal & Lafayette St.,80 Lafayette,Cleveland Pl & Spring St.,Lafayette & E 4th St.,715 Broadway Arrival
-,-,7:35 AM,-,7:38 AM,7:42 AM,7:44 AM
-,-,8:05 AM,-,8:08 AM,8:12 AM,8:14 AM
-,-,8:35 AM,-,8:38 AM,8:42 AM,8:44 AM
-,-,9:05 AM,-,9:08 AM,9:12 AM,9:14 AM
-,-,9:35 AM,-,9:38 AM,9:42 AM,9:44 AM
10:00 AM,10:05 AM,10:09 AM,-,10:12 AM,10:16 AM,10:18 AM
10:30 AM,10:35 AM,10:39 AM,-,10:42 AM,10:46 AM,10:48 AM
11:00 AM,11:05 AM,11:09 AM,-,11:12 AM,11:16 AM,11:18 AM
11:30 AM,11:35 AM,11:39 AM,-,11:42 AM,11:46 AM,11:48 AM
12:00 PM,12:05 PM,12:09 PM,-,12:12 PM,12:16 PM,12:18 PM
12:30 PM,12:35 PM,12:39 PM,-,12:42 PM,12:46 PM,12:48 PM
1:55 PM,2:00 PM,2:04 PM,-,2:07 PM,2:11 PM,2:13 PM
2:25 PM,2:30 PM,2:34 PM,-,2:37 PM,2:41 PM,2:43 PM
3:30 PM,3:35 PM,3:39 PM,-,3:42 PM,3:46 PM,3:48 PM
4:10 PM,4:15 PM,4:19 PM,-,4:22 PM,4:26 PM,4:28 PM
4:55 PM,5:00 PM,5:04 PM,-,5:07 PM,5:11 PM,5:13 PM
6:10 PM,6:15 PM,6:19 PM,-,6:22 PM,6:26 PM,6:28 PM
6:50 PM,6:55 PM,-,7:02 PM,7:08 PM,7:12 PM,7:14 PM
7:25 PM,7:30 PM,-,7:37 PM,7:43 PM,7:47 PM,7:49 PM
7:55 PM,8:00 PM,-,8:07 PM,8:13 PM,8:17 PM,8:19 PM
8:30 PM,8:35 PM,-,8:45 PM,-,-,9:15 PM
9:20 PM,9:25 PM,-,9:32 PM,9:38 PM,9:42 PM,9:44 PM
10:00 PM,10:05 PM,-,10:12 PM,10:18 PM,10:22 PM,10:24 PM
10:40 PM,10:45 PM,-,10:52 PM,10:58 PM,11:02 PM,11:04 PM
11:20 PM,11:25 PM,-,11:32 PM,11:38 PM,11:42 PM,11:44 PM
