715 Broadway,14th St. at Irving Place (EB),14th St at 3rd Ave.,1st Ave. at 17th St.,1st Ave. at 24th St.,1st Ave. at 26th St.,NYU Langone Health,Gramercy Green,3rd Ave. at 17th St.,14th St. at Irving Place (WB),715 Broadway Arrival
7:00 AM,7:06 AM,7:08 AM,7:12 AM,7:16 AM,7:17 AM,7:21 AM,7:31 AM,7:33 AM,7:35 AM,7:45 AM
7:50 AM,7:56 AM,7:58 AM,8:02 AM,8:06 AM,8:07 AM,8:11 AM,8:21 AM,8:23 AM,8:25 AM,8:35 AM
8:27 AM,8:33 AM,8:35 AM,8:39 AM,8:43 AM,8:44 AM,8:48 AM,8:58 AM,9:00 AM,9:02 AM,9:12 AM
9:35 AM,9:41 AM,9:43 AM,9:47 AM,9:51 AM,9:52 AM,9:56 AM,10:06 AM,10:08 AM,10:10 AM,10:20 AM
9:55 AM,10:01 AM,10:03 AM,10:07 AM,10:11 AM,10:12 AM,10:16 AM,10:26 AM,10:28 AM,10:30 AM,10:40 AM
10:25 AM,10:31 AM,10:33 AM,10:37 AM,10:41 AM,10:42 AM,10:46 AM,10:56 AM,10:58 AM,11:00 AM,11:10 AM
10:50 AM,10:56 AM,10:58 AM,11:02 AM,11:06 AM,11:07 AM,11:11 AM,11:21 AM,11:23 AM,11:25 AM,11:35 AM
11:35 AM,11:41 AM,11:43 AM,11:47 AM,11:51 AM,11:52 AM,11:56 AM,12:06 PM,12:08 PM,12:10 PM,12:20 PM
11:50 AM,11:56 AM,11:58 AM,12:02 PM,12:06 PM,12:07 PM,12:11 PM,12:21 PM,12:23 PM,12:25 PM,12:35 PM
12:35 PM,12:41 PM,12:43 PM,12:47 PM,12:51 PM,12:52 PM,12:56 PM,1:06 PM,1:08 PM,1:10 PM,1:20 PM
12:50 PM,12:56 PM,12:58 PM,1:02 PM,1:06 PM,1:07 PM,1:11 PM,1:21 PM,1:23 PM,1:25 PM,1:35 PM
1:35 PM,1:41 PM,1:43 PM,1:47 PM,1:51 PM,1:52 PM,1:56 PM,2:06 PM,2:08 PM,2:10 PM,2:20 PM
1:55 PM,2:01 PM,2:03 PM,2:07 PM,2:11 PM,2:12 PM,2:16 PM,2:26 PM,2:28 PM,2:30 PM,2:40 PM
2:30 PM,2:36 PM,2:38 PM,2:42 PM,2:46 PM,2:47 PM,2:51 PM,3:01 PM,3:03 PM,3:05 PM,3:15 PM
2:55 PM,3:01 PM,3:03 PM,3:07 PM,3:11 PM,3:12 PM,3:16 PM,3:26 PM,3:28 PM,3:30 PM,3:40 PM
3:30 PM,3:36 PM,3:38 PM,3:42 PM,3:46 PM,3:47 PM,3:51 PM,4:01 PM,4:03 PM,4:05 PM,4:15 PM
3:50 PM,3:56 PM,3:58 PM,4:02 PM,4:06 PM,4:07 PM,4:11 PM,4:21 PM,4:23 PM,4:25 PM,4:35 PM
4:35 PM,4:41 PM,4:43 PM,4:47 PM,4:51 PM,4:52 PM,4:56 PM,5:06 PM,5:08 PM,5:10 PM,5:20 PM
4:55 PM,5:01 PM,5:03 PM,5:07 PM,5:11 PM,5:12 PM,5:16 PM,5:26 PM,5:28 PM,5:30 PM,5:40 PM
5:30 PM,5:36 PM,5:38 PM,5:42 PM,5:46 PM,5:47 PM,5:51 PM,6:01 PM,6:03 PM,6:05 PM,6:15 PM
5:50 PM,5:56 PM,5:58 PM,6:02 PM,6:06 PM,6:07 PM,6:11 PM,6:21 PM,6:23 PM,6:25 PM,6:35 PM
6:25 PM,6:31 PM,6:33 PM,6:37 PM,6:41 PM,6:42 PM,6:46 PM,6:56 PM,6:58 PM,7:00 PM,7:10 PM
6:50 PM,6:56 PM,6:58 PM,7:02 PM,7:06 PM,7:07 PM,7:11 PM,7:21 PM,7:23 PM,7:25 PM,7:35 PM
7:35 PM,7:41 PM,7:43 PM,7:47 PM,7:51 PM,7:52 PM,7:56 PM,8:06 PM,8:08 PM,8:10 PM,8:20 PM
7:50 PM,7:56 PM,7:58 PM,8:02 PM,8:06 PM,8:07 PM,8:11 PM,8:21 PM,8:23 PM,8:25 PM,8:35 PM
8:30 PM,8:36 PM,8:38 PM,8:42 PM,8:46 PM,8:47 PM,8:51 PM,9:01 PM,9:03 PM,9:05 PM,9:15 PM
8:40 PM,8:46 PM,8:48 PM,8:52 PM,8:56 PM,8:57 PM,9:01 PM,9:11 PM,9:13 PM,9:15 PM,9:25 PM
9:20 PM,9:26 PM,9:28 PM,9:32 PM,9:36 PM,9:37 PM,9:41 PM,9:51 PM,9:53 PM,9:55 PM,10:05 PM
9:40 PM,9:46 PM,9:48 PM,9:52 PM,9:56 PM,9:57 PM,10:01 PM,10:11 PM,10:13 PM,10:15 PM,10:25 PM
10:35 PM,10:41 PM,10:43 PM,10:47 PM,10:51 PM,10:52 PM,10:56 PM,11:06 PM,11:08 PM,11:10 PM,11:20 PM
11:20 PM,11:26 PM,11:28 PM,11:32 PM,11:36 PM,11:37 PM,11:41 PM,11:51 PM,-,-,-
