715 Broadway,3rd Ave. at 11th St. (NB),3rd Ave. at 14th St.,3rd Ave. at 17th St.,Opposite Gramercy Green,3rd Ave. at 30th St.,Gramercy Green,3rd Ave. at 17th St.,3rd Ave. at 13th St.,3rd Ave. at 11th St. (SB),715 Broadway Arrival
-,-,-,-,-,-,8:00 AM,8:02 AM,8:04 AM,8:05 AM,8:09 AM
-,-,-,-,-,-,8:08 AM,8:10 AM,8:12 AM,8:13 AM,8:17 AM
-,-,-,-,-,-,8:16 AM,8:18 AM,8:20 AM,8:21 AM,8:25 AM
-,-,-,-,-,-,8:32 AM,8:34 AM,8:36 AM,8:37 AM,8:41 AM
-,-,-,-,-,-,8:40 AM,8:42 AM,8:44 AM,8:45 AM,8:49 AM
-,-,-,-,-,-,8:56 AM,8:58 AM,9:00 AM,9:01 AM,9:05 AM
-,-,-,-,-,-,9:04 AM,9:06 AM,9:08 AM,9:09 AM,9:13 AM
-,-,-,-,-,-,9:12 AM,9:14 AM,9:16 AM,9:17 AM,9:21 AM
-,-,-,-,-,-,9:20 AM,9:22 AM,9:24 AM,9:25 AM,9:29 AM
-,-,-,-,-,-,9:28 AM,9:30 AM,9:32 AM,9:33 AM,9:37 AM
-,-,-,-,-,-,9:36 AM,9:38 AM,9:40 AM,9:41 AM,9:45 AM
9:40 AM,9:43 AM,9:46 AM,9:47 AM,9:52 AM,9:55 AM,10:03 AM,10:05 AM,10:07 AM,10:08 AM,10:12 AM
-,-,-,-,-,-,10:05 AM,10:07 AM,10:09 AM,10:10 AM,10:14 AM
-,-,-,-,-,-,10:35 AM,10:37 AM,10:39 AM,10:40 AM,10:44 AM
10:35 AM,10:38 AM,10:41 AM,10:42 AM,10:47 AM,10:50 AM,10:58 AM,11:00 AM,11:02 AM,11:03 AM,11:07 AM
11:35 AM,11:38 AM,11:41 AM,11:42 AM,11:47 AM,11:50 AM,11:58 AM,12:00 PM,12:02 PM,12:03 PM,12:07 PM
12:35 PM,12:38 PM,12:41 PM,12:42 PM,12:47 PM,12:50 PM,12:58 PM,1:00 PM,1:02 PM,1:03 PM,1:07 PM
1:30 PM,1:33 PM,1:36 PM,1:37 PM,1:42 PM,1:45 PM,1:53 PM,1:55 PM,1:57 PM,1:58 PM,2:02 PM
2:30 PM,2:33 PM,2:36 PM,2:37 PM,2:42 PM,2:45 PM,2:53 PM,2:55 PM,2:57 PM,2:58 PM,3:02 PM
3:30 PM,3:33 PM,3:36 PM,3:37 PM,3:42 PM,3:45 PM,3:53 PM,3:55 PM,3:57 PM,3:58 PM,4:02 PM
3:50 PM,3:53 PM,3:56 PM,3:57 PM,4:02 PM,4:05 PM,4:13 PM,4:15 PM,4:17 PM,4:18 PM,4:22 PM
4:20 PM,4:23 PM,4:26 PM,4:27 PM,4:32 PM,4:35 PM,4:43 PM,4:45 PM,4:47 PM,4:48 PM,4:52 PM
4:55 PM,4:58 PM,5:01 PM,5:02 PM,5:07 PM,5:10 PM,5:18 PM,5:20 PM,5:22 PM,5:23 PM,5:27 PM
5:10 PM,5:13 PM,5:16 PM,5:17 PM,5:22 PM,5:25 PM,5:33 PM,5:35 PM,5:37 PM,5:38 PM,5:42 PM
5:45 PM,5:48 PM,5:51 PM,5:52 PM,5:57 PM,6:00 PM,6:08 PM,6:10 PM,6:12 PM,6:13 PM,6:17 PM
6:10 PM,6:13 PM,6:16 PM,6:17 PM,6:22 PM,6:25 PM,6:33 PM,6:35 PM,6:37 PM,6:38 PM,6:42 PM
6:30 PM,6:33 PM,6:36 PM,6:37 PM,6:42 PM,6:45 PM,6:53 PM,6:55 PM,6:57 PM,6:58 PM,7:02 PM
7:20 PM,7:23 PM,7:26 PM,7:27 PM,7:32 PM,7:35 PM,7:43 PM,7:45 PM,7:47 PM,7:48 PM,7:52 PM
8:10 PM,8:13 PM,8:16 PM,8:17 PM,8:22 PM,8:25 PM,8:33 PM,8:35 PM,8:37 PM,8:38 PM,8:42 PM
9:10 PM,9:13 PM,9:16 PM,9:17 PM,9:22 PM,9:25 PM,9:33 PM,9:35 PM,9:37 PM,9:38 PM,9:42 PM
