715 Broadway,Broadway & Broome St.,80 Lafayette,Cleveland Pl & Spring St.,Layfayette & E 4th St.,14th St. at Irving Place (EB),14th St. at 3rd Ave.,1St. Ave. at 17th St..,1St. Ave. at 24th St.,1St. Ave. at 26th St.,NYU Langone Health,Lexington Ave. at 31 St.,Gramercy Green,3rd Ave. at 17th St.,14th St. at Irving Place (WB),715 Broadway Arrival
-,-,-,-,-,-,-,-,10:00 AM,10:01 AM,10:05 AM,10:10 AM,10:14 AM,10:16 AM,10:18 AM,10:23 AM
10:30 AM,10:35 AM,10:45 AM,10:50 AM,10:55 AM,11:00 AM,11:01 AM,11:04 AM,11:07 AM,11:08 AM,11:12 AM,11:17 AM,11:21 AM,11:23 AM,11:25 AM,11:30 AM
11:45 AM,11:50 AM,12:00 PM,12:05 PM,12:10 PM,12:15 PM,12:16 PM,12:19 PM,12:22 PM,12:23 PM,12:27 PM,12:32 PM,12:36 PM,12:38 PM,12:40 PM,12:45 PM
12:25 PM,12:30 PM,12:40 PM,12:45 PM,12:50 PM,12:55 PM,12:56 PM,12:59 PM,1:02 PM,1:03 PM,1:07 PM,1:12 PM,1:16 PM,1:18 PM,1:20 PM,1:25 PM
1:00 PM,1:05 PM,1:15 PM,1:20 PM,1:25 PM,1:30 PM,1:31 PM,1:34 PM,1:37 PM,1:38 PM,1:42 PM,1:47 PM,1:51 PM,1:53 PM,1:55 PM,2:00 PM
1:40 PM,1:45 PM,1:55 PM,2:00 PM,2:05 PM,2:10 PM,2:11 PM,2:14 PM,2:17 PM,2:18 PM,2:22 PM,2:27 PM,2:31 PM,2:33 PM,2:35 PM,2:40 PM
2:30 PM,2:35 PM,2:45 PM,2:50 PM,2:55 PM,3:00 PM,3:01 PM,3:04 PM,3:07 PM,3:08 PM,3:12 PM,3:17 PM,3:21 PM,3:23 PM,3:25 PM,3:30 PM
3:10 PM,3:15 PM,3:25 PM,3:30 PM,3:35 PM,3:40 PM,3:41 PM,3:44 PM,3:47 PM,3:48 PM,3:52 PM,3:57 PM,4:01 PM,4:03 PM,4:05 PM,4:10 PM
3:40 PM,3:45 PM,3:55 PM,4:00 PM,4:05 PM,4:10 PM,4:11 PM,4:14 PM,4:17 PM,4:18 PM,4:22 PM,4:27 PM,4:31 PM,4:33 PM,4:35 PM,4:40 PM
4:25 PM,4:30 PM,4:40 PM,4:45 PM,4:50 PM,4:55 PM,4:56 PM,4:59 PM,5:02 PM,5:03 PM,5:07 PM,5:12 PM,5:16 PM,5:18 PM,5:20 PM,5:25 PM
4:50 PM,4:55 PM,5:05 PM,5:10 PM,5:15 PM,5:20 PM,5:21 PM,5:24 PM,5:27 PM,5:28 PM,5:32 PM,5:37 PM,5:41 PM,5:43 PM,5:45 PM,5:50 PM
5:35 PM,5:40 PM,5:50 PM,5:55 PM,6:00 PM,6:05 PM,6:06 PM,6:09 PM,6:12 PM,6:13 PM,6:17 PM,6:22 PM,6:26 PM,6:28 PM,6:30 PM,6:35 PM
6:15 PM,6:20 PM,6:30 PM,6:35 PM,6:40 PM,6:45 PM,6:46 PM,6:49 PM,6:52 PM,6:53 PM,6:57 PM,7:02 PM,7:06 PM,7:08 PM,7:10 PM,7:15 PM
6:50 PM,6:55 PM,7:05 PM,7:10 PM,7:15 PM,7:20 PM,7:21 PM,7:24 PM,7:27 PM,7:28 PM,7:32 PM,7:37 PM,7:41 PM,7:43 PM,7:45 PM,7:50 PM
7:25 PM,7:30 PM,7:40 PM,7:45 PM,7:50 PM,7:55 PM,7:56 PM,7:59 PM,8:02 PM,8:03 PM,8:07 PM,8:12 PM,8:16 PM,8:18 PM,8:20 PM,8:25 PM
8:35 PM,8:40 PM,8:50 PM,8:55 PM,9:00 PM,9:05 PM,9:06 PM,9:09 PM,9:12 PM,9:13 PM,9:17 PM,9:22 PM,9:26 PM,9:28 PM,9:30 PM,9:35 PM
9:55 PM,10:00 PM,10:10 PM,10:15 PM,10:20 PM,10:25 PM,10:26 PM,10:29 PM,10:32 PM,10:33 PM,10:37 PM,10:42 PM,10:46 PM,10:48 PM,10:50 PM,10:55 PM
11:00 PM,11:05 PM,11:15 PM,11:20 PM,11:25 PM,11:30 PM,11:31 PM,11:34 PM,11:37 PM,11:38 PM,11:42 PM,11:47 PM,11:51 PM,11:53 PM,11:55 PM,12:00 AM
